Date,USD (PM),BTC Price,Delta(G),Delta(B),PE(G),PE(B)
9/12/16,1324.6,609.67,null,-1,null,-1
9/13/16,1323.65,610.92,-0.95,1.25,0,1
9/14/16,1321.75,608.82,-1.9,-2.1,0,0
9/15/16,1310.8,610.38,-10.95,1.56,0,1
9/16/16,1308.35,609.11,-2.45,-1.27,0,0
9/17/16,1314.85,607.04,6.5,-2.07,1,0
9/18/16,1314.85,611.58,0.0,4.54,1
9/19/16,1314.85,610.19,0.0,-1.39,0
9/20/16,1313.8,608.66,-1.05,-1.53,0,0
9/21/16,1326.1,598.88,12.3,-9.78,1,0
9/22/16,1339.1,597.42,13.0,-1.46,1,0
9/23/16,1338.65,594.08,-0.45,-3.34,0,0
9/24/16,1340.5,603.88,1.85,9.8,1,1
9/25/16,1340.5,601.74,0.0,-2.14,0
9/26/16,1340.5,598.98,0.0,-2.76,0
9/27/16,1327.0,605.96,-13.5,6.98,0,1
9/28/16,1322.5,605.67,-4.5,-0.29,0,0
9/29/16,1318.1,603.85,-4.4,-1.82,0,0
9/30/16,1322.5,609.39,4.4,5.54,1,1
10/1/16,1313.3,614.82,-9.2,5.43,0,1
10/2/16,1313.3,612.98,0.0,-1.84,0
10/3/16,1313.3,611.85,0.0,-1.13,0
10/4/16,1283.3,609.62,-30.0,-2.23,0,0
10/5/16,1269.4,607.18,-13.9,-2.44,0,0
10/6/16,1254.5,612.08,-14.9,4.9,0,1
10/7/16,1258.75,617.21,4.25,5.13,1,1
10/8/16,1259.5,614.74,0.75,-2.47,1,0
10/9/16,1259.5,615.65,0.0,0.91,1
10/10/16,1259.5,617.54,0.0,1.89,1
10/11/16,1253.45,614.77,-6.05,-2.77,0,0
10/12/16,1256.5,635.01,3.05,20.24,1,1
10/13/16,1261.05,635.96,4.55,0.95,1,1
10/14/16,1251.75,634.02,-9.3,-1.94,0,0
10/15/16,1254.8,637.94,3.05,3.92,1,1
10/16/16,1254.8,641.42,0.0,3.48,1
10/17/16,1254.8,638.97,0.0,-2.45,0
10/18/16,1258.2,636.29,3.4,-2.68,1,0
10/19/16,1269.05,629.25,10.85,-7.04,1,0
10/20/16,1271.65,627.72,2.6,-1.53,1,0
10/21/16,1266.05,631.92,-5.6,4.2,0,1
10/22/16,1265.55,655.48,-0.5,23.56,0,1
10/23/16,1265.55,653.25,0.0,-2.23,0
10/24/16,1265.55,651.39,0.0,-1.86,0
10/25/16,1269.4,655.31,3.85,3.92,1,1
10/26/16,1270.5,651.45,1.1,-3.86,1,0
10/27/16,1266.25,682.22,-4.25,30.77,0,1
10/28/16,1273.0,687.68,6.75,5.46,1,1
10/29/16,1272.0,685.91,-1.0,-1.77,0,0
10/30/16,1272.0,698.0,0.0,12.09,1
10/31/16,1272.0,702.0,0.0,4.0,1
11/1/16,1288.45,697.01,16.45,-4.99,1,0
11/2/16,1303.75,733.33,15.3,36.32,1,1
11/3/16,1301.0,686.17,-2.75,-47.16,0,0
11/4/16,1302.8,683.69,1.8,-2.48,1,0
11/5/16,1283.05,704.79,-19.75,21.1,0,1
11/6/16,1283.05,712.0,0.0,7.21,1
11/7/16,1283.05,709.96,0.0,-2.04,0
11/8/16,1282.35,708.97,-0.7,-0.99,0,0
11/9/16,1281.4,720.93,-0.95,11.96,0,1
11/10/16,1267.5,721.5,-13.9,0.57,0,1
11/11/16,1236.45,715.45,-31.05,-6.05,0,0
11/12/16,1213.6,703.71,-22.85,-11.74,0,0
11/13/16,1213.6,702.28,0.0,-1.43,0
11/14/16,1213.6,706.46,0.0,4.18,1
11/15/16,1226.95,710.91,13.35,4.45,1,1
11/16/16,1229.2,711.73,2.25,0.82,1,1
11/17/16,1226.75,736.96,-2.45,25.23,0,1
11/18/16,1211.0,747.52,-15.75,10.56,0,1
11/19/16,1214.25,748.98,3.25,1.46,1,1
11/20/16,1214.25,729.06,0.0,-19.92,0
11/21/16,1214.25,738.53,0.0,9.47,1
11/22/16,1212.25,736.97,-2.0,-1.56,0,0
11/23/16,1185.35,741.63,-26.9,4.66,0,1
11/24/16,1186.1,737.45,0.75,-4.18,1,0
11/25/16,1187.7,735.64,1.6,-1.81,1,0
11/26/16,1187.0,733.67,-0.7,-1.97,0,0
11/27/16,1187.0,727.96,0.0,-5.71,0
11/28/16,1187.0,727.31,0.0,-0.65,0
11/29/16,1186.55,732.71,-0.45,5.4,0,1
11/30/16,1178.1,742.69,-8.45,9.98,0,1
12/1/16,1161.85,742.05,-16.25,-0.64,0,0
12/2/16,1173.5,772.43,11.65,30.38,1,1
12/3/16,1162.2,764.33,-11.3,-8.1,0,0
12/4/16,1162.2,762.97,0.0,-1.36,0
12/5/16,1162.2,754.63,0.0,-8.34,0
12/6/16,1172.5,756.62,10.3,1.99,1,1
12/7/16,1177.65,758.99,5.15,2.37,1,1
12/8/16,1171.05,769.72,-6.6,10.73,0,1
12/9/16,1163.6,770.02,-7.45,0.3,0,1
12/10/16,1156.1,769.08,-7.5,-0.94,0,0
12/11/16,1156.1,777.0,0.0,7.92,1
12/12/16,1156.1,777.0,0.0,0.0,
12/13/16,1158.55,777.99,2.45,0.99,1,1
12/14/16,1162.25,774.89,3.7,-3.1,1,0
12/15/16,1126.95,776.75,-35.3,1.86,0,1
12/16/16,1131.6,775.88,4.65,-0.87,1,0
12/17/16,1136.25,788.7,4.65,12.82,1,1
12/18/16,1136.25,788.4,0.0,-0.3,0
12/19/16,1136.25,788.67,0.0,0.27,1
12/20/16,1125.7,793.09,-10.55,4.42,0,1
12/21/16,1133.65,824.21,7.95,31.12,1,1
12/22/16,1131.35,834.97,-2.3,10.76,0,1
12/23/16,nan,901.31,nan,66.34,1
12/24/16,1134.6,891.61,nan,-9.7,0
12/25/16,1134.6,892.6,0.0,0.99,1
12/26/16,1134.6,897.33,0.0,4.73,1
12/27/16,1134.6,930.37,0.0,33.04,1
12/28/16,1134.6,930.34,0.0,-0.03,0
12/29/16,1145.9,963.38,11.3,33.04,1,1
12/30/16,nan,952.15,nan,-11.23,0
12/31/16,1151.0,958.12,nan,5.97,1
1/1/17,1151.0,997.72,0.0,39.6,1
1/2/17,1151.0,1015.97,0.0,18.25,1
1/3/17,1151.0,1013.42,0.0,-2.55,0
1/4/17,1164.25,1126.76,13.25,113.34,1,1
1/5/17,1176.7,994.67,12.45,-132.09,1,0
1/6/17,1175.85,999.65,-0.85,4.98,0,1
1/7/17,1178.5,896.83,2.65,-102.82,1,0
1/8/17,1178.5,908.14,0.0,11.31,1
1/9/17,1178.5,910.49,0.0,2.35,1
1/10/17,1189.5,906.05,11.0,-4.44,1,0
1/11/17,1178.55,785.22,-10.95,-120.83,0,0
1/12/17,1205.05,780.92,26.5,-4.3,1,0
1/13/17,1190.35,826.29,-14.7,45.37,0,1
1/14/17,1203.0,817.91,12.65,-8.38,1,0
1/15/17,1203.0,819.55,0.0,1.64,1
1/16/17,1203.0,830.5,0.0,10.95,1
1/17/17,1216.05,903.84,13.05,73.34,1,1
1/18/17,1214.75,906.6,-1.3,2.76,0,1
1/19/17,1196.05,895.798875,-18.7,-10.8011,0,0
1/20/17,1200.55,893.6210875,4.5,-2.1778,1,0
1/21/17,1212.85,895.64,12.3,2.0189,1,1
1/22/17,1212.85,918.603625,0.0,22.9636,1
1/23/17,1212.85,922.0736125,0.0,3.47,1
1/24/17,1216.8,919.97,3.95,-2.1036,1,0
1/25/17,1195.0,893.045625,-21.8,-26.9244,0,0
1/26/17,1189.7,915.95625,-5.3,22.9106,0,1
1/27/17,1184.85,915.05,-4.85,-0.9062,0,0
1/28/17,1192.8,920.31225,7.95,5.2622,1,1
1/29/17,1192.8,915.933,0.0,-4.3792,0
1/30/17,1192.8,912.19,0.0,-3.743,0
1/31/17,1212.8,964.706075,20.0,52.5161,1,1
2/1/17,1203.65,979.703875,-9.15,14.9978,0,1
2/2/17,1221.95,983.42,18.3,3.7161,1,1
2/3/17,1215.2,1013.027,-6.75,29.607,0,1
2/4/17,1226.75,1030.999413,11.55,17.9724,1,1
2/5/17,1226.75,1034.07,0.0,3.0706,1
2/6/17,1226.75,1024.01375,0.0,-10.0562,0
2/7/17,1231.0,1050.11,4.25,26.0962,1,1
2/8/17,1242.1,1052.84,11.1,2.73,1,1
2/9/17,1236.8,976.103,-5.3,-76.737,0,0
2/10/17,1228.3,999.1035,-8.5,23.0005,0,1
2/11/17,1222.25,997.59,-6.05,-1.5135,0,0
2/12/17,1222.25,1000.604625,0.0,3.0146,1
2/13/17,1222.25,999.877375,0.0,-0.7273,0
2/14/17,1230.75,1001.2,8.5,1.3226,1,1
2/15/17,1224.4,1012.325988,-6.35,11.126,0,1
2/16/17,1240.55,1035.208125,16.15,22.8821,1,1
2/17/17,1241.95,1035.2,1.4,-0.0081,1,0
2/18/17,1237.3,1056.637138,-4.65,21.4371,0,1
2/19/17,1237.3,1052.779286,0.0,-3.8579,0
2/20/17,1237.3,1050.87,0.0,-1.9093,0
2/21/17,1233.2,1123.788429,-4.1,72.9184,0,1
2/22/17,1236.65,1123.223188,3.45,-0.5652,1,0
2/23/17,1247.9,1130.01,11.25,6.7868,1,1
2/24/17,1253.65,1174.86625,5.75,44.8563,1,1
2/25/17,1257.2,1150.605714,3.55,-24.2605,1,0
2/26/17,1257.2,1150.37,0.0,-0.2357,0
2/27/17,1257.2,1190.75195,0.0,40.382,1
2/28/17,1255.6,1187.565286,-1.6,-3.1867,0,0
3/1/17,1240.4,1190.89,-15.2,3.3247,0,1
3/2/17,1238.1,1259.410817,-2.3,68.5208,0,1
3/3/17,1226.5,1285.14,-11.6,25.7292,0,1
3/4/17,1230.95,1287.0,4.45,1.86,1,1
3/5/17,1230.95,1270.9333,0.0,-16.0667,0
3/6/17,1230.95,1275.197375,0.0,4.2641,1
3/7/17,1216.65,1279.5,-14.3,4.3026,0,1
3/8/17,1209.2,1157.3933,-7.45,-122.1067,0,0
3/9/17,1206.55,1192.469143,-2.65,35.0758,0,1
3/10/17,1202.65,1192.09,-3.9,-0.3791,0,0
3/11/17,1204.2,1179.159875,1.55,-12.9301,1,0
3/12/17,1204.2,1227.494625,0.0,48.3347,1
3/13/17,1204.2,1227.68,0.0,0.1854,1
3/14/17,1204.6,1245.370786,0.4,17.6908,1,1
3/15/17,1198.8,1257.399625,-5.8,12.0288,0,1
3/16/17,1229.35,1257.0,30.55,-0.3996,1,0
3/17/17,1229.6,1091.171888,0.25,-165.8281,1,0
3/18/17,1232.4,952.2323625,2.8,-138.9395,1,0
3/19/17,1232.4,967.69,0.0,15.4576,1
3/20/17,1232.4,1049.084488,0.0,81.3945,1
3/21/17,1241.6,1118.630043,9.2,69.5456,1,1
3/22/17,1249.05,1113.0,7.45,-5.63,1,0
3/23/17,1247.5,1038.789,-1.55,-74.211,0,0
3/24/17,1247.5,941.9197143,0.0,-96.8693,0
3/25/17,1257.55,927.93,10.05,-13.9897,1,0
3/26/17,1257.55,956.7863125,0.0,28.8563,1
3/27/17,1257.55,1037.22925,0.0,80.4429,1
3/28/17,1257.25,1041.04,-0.3,3.8107,0,1
3/29/17,1251.1,1040.5755,-6.15,-0.4645,0,0
3/30/17,1248.8,1037.90455,-2.3,-2.6709,0,0
3/31/17,1244.85,1034.74,-3.95,-3.1645,0,0
4/1/17,1247.25,1086.929571,2.4,52.1896,1,1
4/2/17,1247.25,1099.169125,0.0,12.2396,1
4/3/17,1247.25,1079.99,0.0,-19.1791,0
4/4/17,1257.65,1141.600363,10.4,61.6104,1,1
4/5/17,1245.8,1133.079314,-11.85,-8.521,0,0
4/6/17,1252.5,1133.53,6.7,0.4507,1,1
4/7/17,1266.45,1190.45425,13.95,56.9243,1,1
4/8/17,1250.05,1181.149838,-16.4,-9.3044,0,0
4/9/17,1250.05,1184.03,0.0,2.8802,1
4/10/17,1250.05,1207.744875,0.0,23.7149,1
4/11/17,1252.9,1226.617038,2.85,18.8722,1,1
4/12/17,1274.3,1219.09,21.4,-7.527,1,0
4/13/17,1284.15,1180.023713,9.85,-39.0663,1,0
4/14/17,1278.95,1185.260057,-5.2,5.2363,0,1
4/15/17,1278.95,1170.36,0.0,-14.9001,0
4/16/17,1278.95,1186.927413,0.0,16.5674,1
4/17/17,1278.95,1205.634875,0.0,18.7075,1
4/18/17,1278.95,1176.97,0.0,-28.6649,0
4/19/17,1279.05,1217.930088,0.1,40.9601,1,1
4/20/17,1282.1,1241.686325,3.05,23.7562,1,1
4/21/17,1281.85,1236.63,-0.25,-5.0563,0,0
4/22/17,1269.4,1261.311225,-12.45,24.6812,0,1
4/23/17,1269.4,1257.988113,0.0,-3.3231,0
4/24/17,1269.4,1240.84,0.0,-17.1481,0
4/25/17,1267.8,1279.414688,-1.6,38.5747,0,1
4/26/17,1261.85,1309.109875,-5.95,29.6952,0,1
4/27/17,1262.8,1288.02,0.95,-21.0899,1,0
4/28/17,1266.45,1331.294429,3.65,43.2744,1,1
4/29/17,1255.45,1334.979038,-11.0,3.6846,0,1
4/30/17,1255.45,1333.0,0.0,-1.979,0
5/1/17,1255.45,1417.172813,0.0,84.1728,1
5/2/17,1255.45,1452.076288,0.0,34.9035,1
5/3/17,1250.3,1447.55,-5.15,-4.5263,0,0
5/4/17,1228.45,1508.292125,-21.85,60.7421,0,1
5/5/17,1228.05,1533.335071,-0.4,25.0429,0,1
5/6/17,1229.8,1518.75,1.75,-14.5851,1,0
5/7/17,1229.8,1535.868429,0.0,17.1184,1
5/8/17,1229.8,1640.619225,0.0,104.7508,1
5/9/17,1220.4,1651.1,-9.4,10.4808,0,1
5/10/17,1222.95,1762.88625,2.55,111.7863,1,1
5/11/17,1223.15,1820.990563,0.2,58.1043,1,1
5/12/17,1231.25,1829.0,8.1,8.0094,1,1
5/13/17,1233.3,1771.920013,2.05,-57.08,1,0
5/14/17,1233.3,1776.3165,0.0,4.3965,1
5/15/17,1233.3,1780.0,0.0,3.6835,1
5/16/17,1234.2,1739.031975,0.9,-40.968,1,0
5/17/17,1257.4,1807.485063,23.2,68.4531,1,1
5/18/17,1255.9,1783.98,-1.5,-23.5051,0,0
5/19/17,1252.0,1961.520488,-3.9,177.5405,0,1
5/20/17,1258.85,2052.909788,6.85,91.3893,1,1
5/21/17,1258.85,2008.84,0.0,-44.0698,0
5/22/17,1258.85,2090.662313,0.0,81.8223,1
5/23/17,1260.2,2287.710288,1.35,197.048,1,1
5/24/17,1252.55,2256.32,-7.65,-31.3903,0,0
5/25/17,1256.95,2387.206286,4.4,130.8863,1,1
5/26/17,1265.05,2211.976857,8.1,-175.2294,1,0
5/27/17,1262.7,2279.82,-2.35,67.8431,0,1
5/28/17,1262.7,2192.9808,0.0,-86.8392,0
5/29/17,1262.7,2275.9307,0.0,82.9499,1
5/30/17,1262.7,2290.02,0.0,14.0893,1
5/31/17,1266.2,2285.933914,3.5,-4.0861,1,0
6/1/17,1264.85,2399.242671,-1.35,113.3088,0,1
6/2/17,1274.95,2409.93,10.1,10.6873,1,1
6/3/17,1279.95,2525.765158,5.0,115.8352,1,1
6/4/17,1279.95,2516.173143,0.0,-9.592,0
6/5/17,1279.95,2529.53,0.0,13.3569,1
6/6/17,1293.5,2883.313697,13.55,353.7837,1,1
6/7/17,1291.0,2664.920863,-2.5,-218.3928,0,0
6/8/17,1273.1,2683.03,-17.9,18.1091,0,1
6/9/17,1266.55,2827.4913,-6.55,144.4613,0,1
6/10/17,1266.4,2845.372857,-0.15,17.8816,0,1
6/11/17,1266.4,2898.63,0.0,53.2571,1
6/12/17,1266.4,2657.675063,0.0,-240.9549,0
6/13/17,1262.0,2748.185086,-4.4,90.51,0,1
6/14/17,1275.5,2706.0,13.5,-42.1851,1,0
6/15/17,1254.55,2442.48025,-20.95,-263.5197,0,0
6/16/17,1255.4,2464.959814,0.85,22.4796,1,1
6/17/17,1248.15,2477.94,-7.25,12.9802,0,1
6/18/17,1248.15,2507.389252,0.0,29.4493,1
6/19/17,1248.15,2617.210263,0.0,109.821,1
6/20/17,1242.2,2600.0,-5.95,-17.2103,0,0
6/21/17,1242.5,2671.04325,0.3,71.0433,1,1
6/22/17,1250.8,2727.288013,8.3,56.2448,1,1
6/23/17,1255.7,2713.48,4.9,-13.808,1,0
6/24/17,1245.25,2589.164888,-10.45,-124.3151,0,0
6/25/17,1245.25,2512.366286,0.0,-76.7986,0
6/26/17,1245.25,2502.03,0.0,-10.3363,0
6/27/17,1249.55,2517.903114,4.3,15.8731,1,1
6/28/17,1248.0,2585.349186,-1.55,67.4461,0,1
6/29/17,1243.5,2558.3,-4.5,-27.0492,0,0
6/30/17,1242.25,2477.641375,-1.25,-80.6586,0,0
7/1/17,1229.25,2501.191343,-13.0,23.55,0,1
7/2/17,1229.25,2421.26,0.0,-79.9313,0
7/3/17,1229.25,2561.225429,0.0,139.9654,1
7/4/17,1223.75,2599.729838,-5.5,38.5044,0,1
7/5/17,1220.3,2598.89,-3.45,-0.8398,0,0
7/6/17,1224.9,2609.96775,4.6,11.0777,1,1
7/7/17,1215.65,2491.201214,-9.25,-118.7665,0,0
7/8/17,1211.9,2502.86,-3.75,11.6588,0,1
7/9/17,1211.9,2536.238938,0.0,33.3789,1
7/10/17,1211.9,2366.170143,0.0,-170.0688,0
7/11/17,1211.05,2327.09,-0.85,-39.0801,0,0
7/12/17,1218.8,2385.748571,7.75,58.6586,1,1
7/13/17,1218.9,2354.783417,0.1,-30.9652,1,0
7/14/17,1230.3,2338.49,11.4,-16.2934,1,0
7/15/17,1234.1,2058.9956,3.8,-279.4944,1,0
7/16/17,1234.1,1931.2143,0.0,-127.7813,0
7/17/17,1234.1,1910.96,0.0,-20.2543,0
7/18/17,1240.75,2320.12225,6.65,409.1622,1,1
7/19/17,1242.15,2264.7657,1.4,-55.3565,1,0
7/20/17,1238.7,2265.21,-3.45,0.4443,0,1
7/21/17,1248.55,2682.195363,9.85,416.9854,1,1
7/22/17,1255.55,2807.609857,7.0,125.4145,1,1
7/23/17,1255.55,2825.51,0.0,17.9001,1
7/24/17,1255.55,2751.821029,0.0,-73.689,0
7/25/17,1254.4,2560.997917,-1.15,-190.8231,0,0
7/26/17,1248.1,2564.3,-6.3,3.3021,0,1
7/27/17,1261.1,2647.625,13.0,83.325,1,1
7/28/17,1264.9,2781.636583,3.8,134.0116,1,1
7/29/17,1267.55,2784.8,2.65,3.1634,1,1
7/30/17,1267.55,2745.955417,0.0,-38.8446,0
7/31/17,1267.55,2866.431667,0.0,120.4762,1
8/1/17,1270.95,2862.9,3.4,-3.5317,1,0
8/2/17,1269.6,2693.633983,-1.35,-169.266,0,0
8/3/17,1268.1,2794.117717,-1.5,100.4837,0,1
8/4/17,1257.7,2790.0,-10.4,-4.1177,0,0
8/5/17,1258.0,3218.115017,0.3,428.115,1,1
8/6/17,1258.0,3252.562533,0.0,34.4475,1
8/7/17,1258.0,3210.2,0.0,-42.3625,0
8/8/17,1261.8,3457.374333,3.8,247.1743,1,1
8/9/17,1271.05,3357.326317,9.25,-100.048,1,0
8/10/17,1284.4,3340.28,13.35,-17.0463,1,0
8/11/17,1286.1,3632.506667,1.7,292.2267,1,1
8/12/17,1282.3,3852.802914,-3.8,220.2962,0,1
8/13/17,1282.3,3868.52,0.0,15.7171,1
8/14/17,1282.3,4282.992,0.0,414.472,1
8/15/17,1270.3,4217.028329,-12.0,-65.9637,0,0
8/16/17,1272.75,4179.97,2.45,-37.0583,1,0
8/17/17,1285.15,4328.725717,12.4,148.7557,1,1
8/18/17,1295.8,4130.440067,10.65,-198.2856,1,0
8/19/17,1292.9,4104.71,-2.9,-25.7301,0,0
8/20/17,1292.9,4157.958033,0.0,53.248,1
8/21/17,1292.9,4043.722,0.0,-114.236,0
8/22/17,1284.2,3986.28,-8.7,-57.442,0,0
8/23/17,1286.65,4174.95,2.45,188.67,1,1
8/24/17,1289.0,4340.316717,2.35,165.3667,1,1
8/25/17,1285.3,4331.77,-3.7,-8.5467,0,0
8/26/17,1318.65,4360.513317,33.35,28.7433,1,1
8/27/17,1318.65,4354.308333,0.0,-6.205,0
8/28/17,1318.65,4339.05,0.0,-15.2583,0
8/29/17,1318.65,4607.98545,0.0,268.9354,1
8/30/17,1308.5,4594.98785,-10.15,-12.9976,0,0
8/31/17,1311.75,4582.52,3.25,-12.4678,1,0
9/1/17,1320.4,4911.740017,8.65,329.22,1,1
9/2/17,1333.1,4580.38748,12.7,-331.3525,1,0
9/3/17,1333.1,4585.57,0.0,5.1825,1
9/4/17,1333.1,4344.098317,0.0,-241.4717,0
9/5/17,1335.55,4488.72014,2.45,144.6218,1,1
9/6/17,1337.85,4385.02,2.3,-103.7001,1,0
9/7/17,1343.5,4654.6585,5.65,269.6385,1,1
9/8/17,1346.25,4310.750183,2.75,-343.9083,1,0
9/9/17,1334.2,4312.26,-12.05,1.5098,0,1
9/10/17,1334.2,4329.955,0.0,17.695,1
9/11/17,1334.2,4248.090017,0.0,-81.865,0
9/12/17,1326.5,4198.59,-7.7,-49.5,0,0
9/13/17,1327.55,3961.271267,1.05,-237.3187,1,0
9/14/17,1324.55,3319.63,-3.0,-641.6413,0,0
9/15/17,1322.85,3216.43,-1.7,-103.2,0,0
9/16/17,1312.1,3763.62604,-10.75,547.196,0,1
9/17/17,1312.1,3746.060783,0.0,-17.5653,0
9/18/17,1312.1,3678.53,0.0,-67.5308,0
9/19/17,1309.6,3943.413333,-2.5,264.8833,0,1
9/20/17,1311.3,3977.561667,1.7,34.1483,1,1
9/21/17,1292.1,3894.48,-19.2,-83.0817,0,0
9/22/17,1294.8,3637.50255,2.7,-256.9774,1,0
9/23/17,1293.3,3776.3869,-1.5,138.8843,0,1
9/24/17,1293.3,3777.62,0.0,1.2331,1
9/25/17,1293.3,3942.555,0.0,164.935,1
9/26/17,1300.05,3910.307383,6.75,-32.2476,1,0
9/27/17,1282.55,3881.0,-17.5,-29.3074,0,0
9/28/17,1283.35,4201.98905,0.8,320.9891,1,1
9/29/17,1283.1,4193.574667,-0.25,-8.4144,0,0
9/30/17,1273.7,4164.27,-9.4,-29.3047,0,0
10/1/17,1273.7,4360.722967,0.0,196.453,1
10/2/17,1273.7,4386.88375,0.0,26.1608,1
10/3/17,1271.25,4394.07,-2.45,7.1862,0,1
10/4/17,1274.25,4225.175,3.0,-168.895,1,0
10/5/17,1274.5,4338.852,0.25,113.677,1,1
10/6/17,1261.8,4318.58,-12.7,-20.272,0,0
10/7/17,1278.75,4376.191667,16.95,57.6117,1,1
10/8/17,1278.75,4602.280883,0.0,226.0892,1
10/9/17,1278.75,4605.66,0.0,3.3791,1
10/10/17,1291.4,4782.28,12.65,176.62,1,1
10/11/17,1289.25,4819.485767,-2.15,37.2058,0,1
10/12/17,1290.25,4822.17,1.0,2.6842,1,1
10/13/17,1299.6,5563.806567,9.35,741.6366,1,1
10/14/17,1303.3,5739.438733,3.7,175.6322,1,1
10/15/17,1303.3,5825.99,0.0,86.5513,1
10/16/17,1303.3,5711.205867,0.0,-114.7841,0
10/17/17,1284.75,5603.71294,-18.55,-107.4929,0,0
10/18/17,1280.2,5594.66,-4.55,-9.0529,0,0
10/19/17,1286.4,5727.6335,6.2,132.9735,1,1
10/20/17,1281.2,5979.45984,-5.2,251.8263,0,1
10/21/17,1274.9,5986.44,-6.3,6.9802,0,1
10/22/17,1274.9,5983.18455,0.0,-3.2554,0
10/23/17,1274.9,5876.079867,0.0,-107.1047,0
10/24/17,1276.45,5900.59,1.55,24.5101,1,1
10/25/17,1275.0,5669.622533,-1.45,-230.9675,0,0
10/26/17,1273.75,5893.138417,-1.25,223.5159,0,1
10/27/17,1266.45,5889.82,-7.3,-3.3184,0,0
10/28/17,1272.0,5776.69695,5.55,-113.1231,1,0
10/29/17,1272.0,6155.43402,0.0,378.7371,1
10/30/17,1272.0,6136.49,0.0,-18.944,0
10/31/17,1270.15,6388.645167,-1.85,252.1552,0,1
11/1/17,1277.05,6665.306683,6.9,276.6615,1,1
11/2/17,1279.2,6751.98,2.15,86.6733,1,1
11/3/17,1267.2,7197.72006,-12.0,445.7401,0,1
11/4/17,1270.9,7437.543317,3.7,239.8233,1,1
11/5/17,1270.9,7365.99,0.0,-71.5533,0
11/6/17,1270.9,6989.071667,0.0,-376.9183,0
11/7/17,1275.6,7092.127233,4.7,103.0556,1,1
11/8/17,1284.0,7128.64,8.4,36.5128,1,1
11/9/17,1284.8,7158.03706,0.8,29.3971,1,1
11/10/17,1284.3,6719.39785,-0.5,-438.6392,0,0
11/11/17,1277.95,6569.22,-6.35,-150.1779,0,0
11/12/17,1277.95,5716.301583,0.0,-852.9184,0
11/13/17,1277.95,6550.227533,0.0,833.9259,1
11/14/17,1274.6,6493.63,-3.35,-56.5975,0,0
11/15/17,1282.2,7301.42992,7.6,807.7999,1,1
11/16/17,1280.0,7815.0307,-2.2,513.6008,0,1
11/17/17,1284.35,7868.77,4.35,53.7393,1,1
11/18/17,1286.2,7817.140383,1.85,-51.6296,1,0
11/19/17,1286.2,8007.654067,0.0,190.5137,1
11/20/17,1286.2,8049.72,0.0,42.0659,1
11/21/17,1283.3,8059.8,-2.9,10.08,0,1
11/22/17,1286.95,8268.035,3.65,208.235,1,1
11/23/17,1290.35,8236.72,3.4,-31.315,1,0
11/24/17,1290.5,8250.978333,0.15,14.2583,1,1
11/25/17,1294.9,8707.407267,4.4,456.4289,1,1
11/26/17,1294.9,8768.8,0.0,61.3927,1
11/27/17,1294.9,9718.29505,0.0,949.4951,1
11/28/17,1291.85,9952.50882,-3.05,234.2138,0,1
11/29/17,1283.85,9919.0,-8.0,-33.5088,0,0
11/30/17,1280.2,10147.372,-3.65,228.372,0,1
12/1/17,1275.5,10883.912,-4.7,736.54,0,1
12/2/17,1273.45,10879.88,-2.05,-4.032,0,0
12/3/17,1273.45,11332.622,0.0,452.742,1
12/4/17,1273.45,11584.83,0.0,252.208,1
12/5/17,1266.3,11591.22,-7.15,6.39,0,1
12/6/17,1263.7,13540.98,-2.6,1949.76,0,1
12/7/17,1255.0,16501.97167,-8.7,2960.9917,0,1
