Date,USD (PM),BTC Price,Delta(G),Delta(B),PE(G),PE(B)
12/8/17,1250.65,16860.88,-4.35,358.9083,0,1
12/9/17,1247.15,15142.83415,-3.5,-1718.0459,0,0
12/10/17,1247.15,14869.805,0.0,-273.0292,0
12/11/17,1247.15,15068.95,0.0,199.145,1
12/12/17,1240.9,17276.39333,-6.25,2207.4433,0,1
12/13/17,1242.65,16808.36667,1.75,-468.0267,1,0
12/14/17,1251.0,16252.31,8.35,-556.0567,1,0
12/15/17,1254.6,17771.9,3.6,1519.59,1,1
12/16/17,1260.6,19498.68333,6.0,1726.7833,1,1
12/17/17,1260.6,19279.9,0.0,-218.7833,0
12/18/17,1260.6,18961.85667,0.0,-318.0433,0
12/19/17,1260.35,17737.11167,-0.25,-1224.745,0,0
12/20/17,1264.55,17382.94,4.2,-354.1717,1,0
12/21/17,1264.55,16047.51,0.0,-1335.43,0
12/22/17,nan,15190.945,nan,-856.565,0
12/23/17,1279.4,13776.61,nan,-1414.335,0
12/24/17,1279.4,13949.175,0.0,172.565,1
12/25/17,1279.4,14119.02833,0.0,169.8533,1
12/26/17,1279.4,13740.94,0.0,-378.0883,0
12/27/17,1279.4,15589.32167,0.0,1848.3817,1
12/28/17,1291.0,14380.58167,11.6,-1208.74,1,0
12/29/17,nan,14214.01,nan,-166.5717,0
12/30/17,1312.05,13215.574,nan,-998.436,0
12/31/17,1312.05,14165.575,0.0,950.001,1
1/1/18,1312.05,13796.0,0.0,-369.575,0
1/2/18,1312.05,15005.85667,0.0,1209.8567,1
1/3/18,1314.9,15053.26167,2.85,47.405,1,1
1/4/18,1314.5,15039.24,-0.4,-14.0217,0,0
1/5/18,1317.15,17174.12,2.65,2134.88,1,1
1/6/18,1319.95,17319.198,2.8,145.078,1,1
1/7/18,1319.95,17155.95,0.0,-163.248,0
1/8/18,1319.95,15265.90667,0.0,-1890.0433,0
1/9/18,1311.0,14714.25333,-8.95,-551.6533,0,0
1/10/18,1319.75,14437.42,8.75,-276.8333,1,0
1/11/18,1323.05,13296.794,3.3,-1140.626,1,0
1/12/18,1326.8,13912.882,3.75,616.088,1,1
1/13/18,1339.25,13791.19,12.45,-121.692,1,0
1/14/18,1339.25,13852.92,0.0,61.73,1
1/15/18,1339.25,14012.196,0.0,159.276,1
1/16/18,1333.85,13554.14,-5.4,-458.056,0,0
1/17/18,1335.65,11116.94667,1.8,-2437.1933,1,0
1/18/18,1332.2,11345.42333,-3.45,228.4767,0,1
1/19/18,1334.95,11174.82,2.75,-170.6033,1,0
1/20/18,1332.6,12950.79333,-2.35,1775.9733,0,1
1/21/18,1332.6,11505.228,0.0,-1445.5653,0
1/22/18,1332.6,11513.42,0.0,8.192,1
1/23/18,1333.4,11223.064,0.8,-290.356,1,0
1/24/18,1353.7,11282.25833,20.3,59.1943,1,1
1/25/18,1354.95,11392.03,1.25,109.7717,1,1
1/26/18,1353.15,10969.815,-1.8,-422.215,0,0
1/27/18,1343.85,11524.77667,-9.3,554.9617,0,1
1/28/18,1343.85,11431.37,0.0,-93.4067,0
1/29/18,1343.85,11212.655,0.0,-218.715,0
1/30/18,1344.9,10184.06167,1.05,-1028.5933,1,0
1/31/18,1345.05,10082.52,0.15,-101.5417,1,0
2/1/18,1341.35,9083.258333,-3.7,-999.2617,0,0
2/2/18,1331.15,8901.901667,-10.2,-181.3567,0,0
2/3/18,1333.6,8852.73,2.45,-49.1717,1,0
2/4/18,1333.6,8400.648333,0.0,-452.0817,0
2/5/18,1333.6,6838.816667,0.0,-1561.8317,0
2/6/18,1331.4,6925.46,-2.2,86.6433,0,1
2/7/18,1324.65,8099.958333,-6.75,1174.4983,0,1
2/8/18,1315.45,8240.536667,-9.2,140.5783,0,1
2/9/18,1314.1,8245.08,-1.35,4.5433,0,1
2/10/18,1322.3,8319.876566,8.2,74.7966,1,1
2/11/18,1322.3,8343.455,0.0,23.5784,1
2/12/18,1322.3,8068.02,0.0,-275.435,0
2/13/18,1325.35,8597.7675,3.05,529.7475,1,1
2/14/18,1336.25,9334.633333,10.9,736.8658,1,1
2/15/18,1352.45,9471.64,16.2,137.0067,1,1
2/16/18,1352.1,10127.16167,-0.35,655.5217,0,1
2/17/18,1346.6,10841.99167,-5.5,714.83,0,1
2/18/18,1346.6,11085.83,0.0,243.8383,1
2/19/18,1346.6,11110.965,0.0,25.135,1
2/20/18,1339.85,11390.39167,-6.75,279.4267,0,1
2/21/18,1330.5,11245.98,-9.35,-144.4117,0,0
2/22/18,1328.35,9931.071667,-2.15,-1314.9083,0,0
2/23/18,1327.95,10162.11667,-0.4,231.045,0,1
2/24/18,1333.5,10171.3,5.55,9.1833,1,1
2/25/18,1333.5,9696.593333,0.0,-474.7067,0
2/26/18,1333.5,10348.60333,0.0,652.01,1
2/27/18,1325.75,10319.46,-7.75,-29.1433,0,0
2/28/18,1317.85,10370.165,-7.9,50.705,0,1
3/1/18,1307.75,11009.38167,-10.1,639.2167,0,1
3/2/18,1322.3,10931.12,14.55,-78.2617,1,0
3/3/18,1320.4,11326.94833,-1.9,395.8283,0,1
3/4/18,1320.4,11430.18167,0.0,103.2333,1
3/5/18,1320.4,11516.83,0.0,86.6483,1
3/6/18,1331.4,10763.19833,11.0,-753.6317,1,0
3/7/18,1329.4,10118.058,-2.0,-645.1403,0,0
3/8/18,1321.0,9920.46,-8.4,-197.598,0,0
3/9/18,1320.6,9089.278333,-0.4,-831.1817,0,0
3/10/18,1319.15,8746.002,-1.45,-343.2763,0,0
3/11/18,1319.15,8777.37,0.0,31.368,1
3/12/18,1319.15,9182.843333,0.0,405.4733,1
3/13/18,1322.75,9154.7,3.6,-28.1433,1,0
3/14/18,1323.55,9153.54,0.8,-1.16,1,0
3/15/18,1318.75,8358.121667,-4.8,-795.4183,0,0
3/16/18,1310.1,8530.402,-8.65,172.2803,0,1
3/17/18,1312.4,8297.89,2.3,-232.512,1,0
3/18/18,1312.4,8171.415,0.0,-126.475,0
3/19/18,1312.4,8412.033333,0.0,240.6183,1
3/20/18,1311.0,8605.64,-1.4,193.6067,0,1
3/21/18,1321.35,8947.753333,10.35,342.1133,1,1
3/22/18,1329.15,8690.408333,7.8,-257.345,1,0
3/23/18,1346.6,8725.37,17.45,34.9617,1,1
3/24/18,1352.4,8662.378333,5.8,-62.9917,1,0
3/25/18,1352.4,8617.296667,0.0,-45.0817,0
3/26/18,1352.4,8457.96,0.0,-159.3367,0
3/27/18,1341.45,7876.195,-10.95,-581.765,0,0
3/28/18,1332.45,7960.38,-9.0,84.185,0,1
3/29/18,1323.85,7950.61,-8.6,-9.77,0,0
3/30/18,1333.45,6882.531667,9.6,-1068.0783,1,0
3/31/18,1333.45,6935.48,0.0,52.9483,1
4/1/18,1333.45,6937.56,0.0,2.08,1
4/2/18,1333.45,7035.848333,0.0,98.2883,1
4/3/18,1333.45,7410.435,0.0,374.5867,1
4/4/18,1337.3,7426.48,3.85,16.045,1,1
4/5/18,1327.7,6826.51,-9.6,-599.97,0,0
4/6/18,1331.2,6603.876667,3.5,-222.6333,1,0
4/7/18,1331.95,6634.68,0.75,30.8033,1,1
4/8/18,1331.95,7017.656667,0.0,382.9767,1
4/9/18,1331.95,6699.273333,0.0,-318.3833,0
4/10/18,1338.95,6784.41,7.0,85.1367,1,1
4/11/18,1350.75,6926.266667,11.8,141.8567,1,1
4/12/18,1341.35,7847.845,-9.4,921.5783,0,1
4/13/18,1343.7,7941.46,2.35,93.615,1,1
4/14/18,1349.35,8036.511051,5.65,95.0511,1,1
4/15/18,1349.35,8340.748333,0.0,304.2373,1
4/16/18,1349.35,8368.1,0.0,27.3517,1
4/17/18,1342.1,7895.416926,-7.25,-472.6831,0,0
4/18/18,1351.45,8164.937426,9.35,269.5205,1,1
4/19/18,1348.6,8175.96,-2.85,11.0226,0,1
4/20/18,1336.75,8852.718333,-11.85,676.7583,0,1
4/21/18,1324.3,8807.205,-12.45,-45.5133,0,0
4/22/18,1324.3,8930.6,0.0,123.395,1
4/23/18,1324.3,8933.861667,0.0,3.2617,1
4/24/18,1328.85,9555.542,4.55,621.6803,1,1
4/25/18,1321.65,9658.11,-7.2,102.568,0,1
4/26/18,1320.7,9258.398333,-0.95,-399.7117,0,0
4/27/18,1321.5,9010.32,0.8,-248.0783,1,0
4/28/18,1313.2,8928.55,-8.3,-81.77,0,0
4/29/18,1313.2,9334.281667,0.0,405.7317,1
4/30/18,1313.2,9259.57,0.0,-74.7117,0
5/1/18,1307.1,9239.55,-6.1,-20.02,0,0
5/2/18,1304.2,9221.426,-2.9,-18.124,0,0
5/3/18,1315.05,9639.268333,10.85,417.8423,1,1
5/4/18,1309.4,9753.35,-5.65,114.0817,0,1
5/5/18,1306.6,9803.306667,-2.8,49.9567,0,1
5/6/18,1306.6,9630.136277,0.0,-173.1704,0
5/7/18,1306.6,9631.44,0.0,1.3037,1
5/8/18,1306.6,9228.608333,0.0,-402.8317,0
5/9/18,1313.85,9322.041667,7.25,93.4333,1,1
5/10/18,1318.8,9310.37,4.95,-11.6717,1,0
5/11/18,1324.35,8468.788,5.55,-841.582,1,0
5/12/18,1319.85,8484.346667,-4.5,15.5587,0,1
5/13/18,1319.85,8463.52,0.0,-20.8267,0
5/14/18,1319.85,8652.038333,0.0,188.5183,1
5/15/18,1295.0,8511.458,-24.85,-140.5803,0,0
5/16/18,1291.25,8471.06,-3.75,-40.398,0,0
5/17/18,1289.5,8106.118333,-1.75,-364.9417,0,0
5/18/18,1288.3,8240.055,-1.2,133.9367,0,1
5/19/18,1288.35,8239.08,0.05,-0.975,1,0
5/20/18,1288.35,8507.406667,0.0,268.3267,1
5/21/18,1288.35,8385.556187,0.0,-121.8505,0
5/22/18,1293.05,8396.63,4.7,11.0738,1,1
5/23/18,1289.0,7555.74,-4.05,-840.89,0,0
5/24/18,1304.85,7566.193333,15.85,10.4533,1,1
5/25/18,1303.5,7576.78,-1.35,10.5867,0,1
5/26/18,1295.5,7342.908333,-8.0,-233.8717,0,0
5/27/18,1295.5,7361.831667,0.0,18.9233,1
5/28/18,1295.5,7344.56,0.0,-17.2717,0
5/29/18,1295.5,7459.876667,0.0,115.3167,1
5/30/18,1300.7,7385.395,5.2,-74.4817,1,0
5/31/18,1305.35,7386.72,4.65,1.325,1,1
6/1/18,1294.6,7535.146667,-10.75,148.4267,0,1
6/2/18,1295.45,7645.146667,0.85,110.0,1,1
6/3/18,1295.45,7637.14,0.0,-8.0067,0
6/4/18,1295.45,7500.273333,0.0,-136.8667,0
6/5/18,1292.05,7615.722142,-3.4,115.4488,0,1
6/6/18,1300.1,7619.43,8.05,3.7079,1,1
6/7/18,1297.25,7676.271667,-2.85,56.8417,0,1
6/8/18,1298.25,7620.153333,1.0,-56.1183,1,0
6/9/18,1299.6,7615.54,1.35,-4.6133,1,0
6/10/18,1299.6,6776.888333,0.0,-838.6517,0
6/11/18,1299.6,6875.678333,0.0,98.79,1
6/12/18,1298.65,6879.31,-0.95,3.6317,0,1
6/13/18,1296.15,6315.7,-2.5,-563.61,0,0
6/14/18,1302.75,6647.013333,6.6,331.3133,1,1
6/15/18,1285.25,6637.41,-17.5,-9.6033,0,0
6/16/18,1281.55,6509.426667,-3.7,-127.9833,0,0
6/17/18,1281.55,6464.411667,0.0,-45.015,0
6/18/18,1281.55,6445.79,0.0,-18.6217,0
6/19/18,1276.15,6737.0,-5.4,291.21,0,1
6/20/18,1274.2,6714.718333,-1.95,-22.2817,0,0
6/21/18,1266.15,6760.83,-8.05,46.1117,0,1
6/22/18,1269.15,6332.573333,3.0,-428.2567,1,0
6/23/18,1268.7,6141.605833,-0.45,-190.9675,0,0
6/24/18,1268.7,6170.46,0.0,28.8542,1
6/25/18,1268.7,6211.4475,0.0,40.9875,1
6/26/18,1260.3,6218.595,-8.4,7.1475,0,1
6/27/18,1254.6,6097.46,-5.7,-121.135,0,0
6/28/18,1251.55,6107.896154,-3.05,10.4362,0,1
6/29/18,1250.45,5908.7025,-1.1,-199.1937,0,0
6/30/18,1247.8,6223.28,-2.65,314.5775,0,1
7/1/18,1247.8,6374.754167,0.0,151.4742,1
7/2/18,1247.8,6466.069167,0.0,91.315,1
7/3/18,1251.75,6626.44,3.95,160.3708,1,1
7/4/18,1255.65,6593.289167,3.9,-33.1508,1,0
7/5/18,1255.5,6603.376667,-0.15,10.0875,0,1
7/6/18,1255.35,6555.51,-0.15,-47.8667,0,0
7/7/18,1262.05,6594.281667,6.7,38.7717,1,1
7/8/18,1262.05,6753.559167,0.0,159.2775,1
7/9/18,1262.05,6724.04,0.0,-29.5192,0
7/10/18,1254.0,6510.791667,-8.05,-213.2483,0,0
7/11/18,1251.4,6377.363333,-2.6,-133.4283,0,0
7/12/18,1245.9,6403.18,-5.5,25.8167,0,1
7/13/18,1241.7,6244.3575,-4.2,-158.8225,0,0
7/14/18,1241.1,6241.0,-0.6,-3.3575,0,0
7/15/18,1241.1,6248.84,0.0,7.84,1
7/16/18,1241.1,6514.390833,0.0,265.5508,1
7/17/18,1232.8,6869.910833,-8.3,355.52,0,1
7/18/18,1224.5,7321.62,-8.3,451.7092,0,1
7/19/18,1217.55,7396.401667,-6.95,74.7817,0,1
7/20/18,1228.75,7428.045,11.2,31.6433,1,1
7/21/18,1224.95,7334.99,-3.8,-93.055,0,0
7/22/18,1224.95,7451.289167,0.0,116.2992,1
7/23/18,1224.95,7689.884167,0.0,238.595,1
7/24/18,1228.35,7715.1,3.4,25.2158,1,1
7/25/18,1231.5,8251.165,3.15,536.065,1,1
7/26/18,1228.25,8187.324167,-3.25,-63.8408,0,0
7/27/18,1223.95,7939.81,-4.3,-247.5142,0,0
7/28/18,1223.8,8182.251667,-0.15,242.4417,0,1
7/29/18,1223.8,8206.341667,0.0,24.09,1
7/30/18,1223.8,8220.91,0.0,14.5683,1
7/31/18,1220.95,7916.800833,-2.85,-304.1092,0,0
8/1/18,1219.0,7570.869167,-1.95,-345.9317,0,0
8/2/18,1215.45,7607.7,-3.55,36.8308,0,1
8/3/18,1216.3,7394.499167,0.85,-213.2008,1,0
8/4/18,1209.65,7247.769167,-6.65,-146.73,0,0
8/5/18,1209.65,7011.28,0.0,-236.4892,0
8/6/18,1209.65,6988.079167,0.0,-23.2008,0
8/7/18,1212.35,6993.513333,2.7,5.4342,1,1
8/8/18,1209.55,6718.23,-2.8,-275.2833,0,0
8/9/18,1214.35,6396.7725,4.8,-321.4575,1,0
8/10/18,1214.4,6396.494667,0.05,-0.2778,1,0
8/11/18,1200.35,6138.96,-14.05,-257.5347,0,0
8/12/18,1200.35,6311.131667,0.0,172.1717,1
8/13/18,1200.35,6347.07,0.0,35.9383,1
8/14/18,1197.0,6252.13,-3.35,-94.94,0,0
8/15/18,1182.0,6362.676923,-15.0,110.5469,0,1
8/16/18,1180.4,6342.629231,-1.6,-20.0477,0,0
8/17/18,1178.4,6312.75,-2.0,-29.8792,0,0
8/18/18,1184.35,6436.720833,5.95,123.9708,1,1
8/19/18,1184.35,6404.063333,0.0,-32.6575,0
8/20/18,1184.35,6486.58,0.0,82.5167,1
8/21/18,1190.95,6401.246154,6.6,-85.3338,1,0
8/22/18,1196.65,6575.229167,5.7,173.983,1,1
8/23/18,1192.35,6354.57,-4.3,-220.6592,0,0
8/24/18,1197.7,6543.645714,5.35,189.0757,1,1
8/25/18,1212.25,6719.429231,14.55,175.7835,1,1
8/26/18,1212.25,6738.27,0.0,18.8408,1
8/27/18,1212.25,6719.266154,0.0,-19.0038,0
8/28/18,1212.25,7000.04,0.0,280.7738,1
8/29/18,1204.2,7078.19,-8.05,78.15,0,1
8/30/18,1197.3,6932.6625,-6.9,-145.5275,0,0
8/31/18,1202.45,6981.946154,5.15,49.2837,1,1
9/1/18,1200.05,7018.78,-2.4,36.8338,0,1
9/2/18,1200.05,7247.935385,0.0,229.1554,1
9/3/18,1200.05,7260.949231,0.0,13.0138,1
9/4/18,1190.85,7265.08,-9.2,4.1308,0,1
9/5/18,1196.7,7113.069231,5.85,-152.0108,1,0
9/6/18,1205.15,6433.271667,8.45,-679.7976,1,0
9/7/18,1198.9,6501.19,-6.25,67.9183,0,1
9/8/18,1196.6,6366.1075,-2.3,-135.0825,0,0
9/9/18,1196.6,6286.425833,0.0,-79.6817,0
9/10/18,1196.6,6240.98,0.0,-45.4458,0
9/11/18,1189.85,6296.320833,-6.75,55.3408,0,1
9/12/18,1195.6,6273.1375,5.75,-23.1833,1,0
9/13/18,1209.8,6326.04,14.2,52.9025,1,1
9/14/18,1201.95,6499.0625,-7.85,173.0225,0,1
9/15/18,1201.9,6518.655,-0.05,19.5925,0,1
9/16/18,1201.9,6522.39,0.0,3.735,1
9/17/18,1201.9,6400.600833,0.0,-121.7892,0
9/18/18,1200.2,6296.631667,-1.7,-103.9692,0,0
9/19/18,1203.3,6342.39,3.1,45.7583,1,1
9/20/18,1208.35,6418.562667,5.05,76.1727,1,1
9/21/18,1198.7,6669.990833,-9.65,251.4282,0,1
9/22/18,1202.75,6756.12,4.05,86.1292,1,1
9/23/18,1202.75,6710.445,0.0,-45.675,0
9/24/18,1202.75,6639.304167,0.0,-71.1408,0
9/25/18,1201.9,6583.45,-0.85,-55.8542,0,0
9/26/18,1194.25,6468.631667,-7.65,-114.8183,0,0
9/27/18,1185.4,6535.476667,-8.85,66.845,0,1
9/28/18,1187.25,6686.08,1.85,150.6033,1,1
9/29/18,1189.35,6550.474167,2.1,-135.6058,1,0
9/30/18,1189.35,6593.135,0.0,42.6608,1
10/1/18,1189.35,6611.02,0.0,17.885,1
10/2/18,1204.7,6562.641667,15.35,-48.3783,1,0
10/3/18,1201.2,6470.4025,-3.5,-92.2392,0,0
10/4/18,1203.45,6483.73,2.25,13.3275,1,1
10/5/18,1203.8,6568.549167,0.35,84.8192,1,1
10/6/18,1186.95,6581.486667,-16.85,12.9375,0,1
10/7/18,1186.95,6573.62,0.0,-7.8667,0
10/8/18,1186.95,6618.567692,0.0,44.9477,1
10/9/18,1185.55,6621.711667,-1.4,3.144,0,1
10/10/18,1188.6,6626.85,3.05,5.1383,1,1
10/11/18,1205.55,6248.635833,16.95,-378.2142,1,0
10/12/18,1219.75,6260.530833,14.2,11.895,1,1
10/13/18,1229.95,6247.0,10.2,-13.5308,1,0
10/14/18,1229.95,6299.399167,0.0,52.3992,1
10/15/18,1229.95,6452.571667,0.0,153.1725,1
10/16/18,1230.7,6599.17,0.75,146.5983,1,1
10/17/18,1229.05,6596.276154,-1.65,-2.8938,0,0
10/18/18,1223.0,6568.040769,-6.05,-28.2354,0,0
10/19/18,1227.85,6509.61,4.85,-58.4308,1,0
10/20/18,1222.3,6488.825833,-5.55,-20.7842,0,0
10/21/18,1222.3,6531.601667,0.0,42.7758,1
10/22/18,1222.3,6504.78,0.0,-26.8217,0
10/23/18,1235.95,6481.426,13.65,-23.354,1,0
10/24/18,1230.55,6508.31,-5.4,26.884,0,1
10/25/18,1230.8,6489.77,0.25,-18.54,1,0
10/26/18,1233.85,6473.753333,3.05,-16.0167,1,0
10/27/18,1230.8,6465.9175,-3.05,-7.8358,0,0
10/28/18,1230.8,6457.21,0.0,-8.7075,0
10/29/18,1230.8,6382.668333,0.0,-74.5417,0
10/30/18,1225.4,6309.452857,-5.4,-73.2155,0,0
10/31/18,1214.95,6301.61,-10.45,-7.8429,0,0
11/1/18,1231.15,6342.280833,16.2,40.6708,1,1
11/2/18,1232.1,6387.674167,0.95,45.3933,1,1
11/3/18,1232.25,6390.42,0.15,2.7458,1,1
11/4/18,1232.25,6391.873333,0.0,1.4533,1
11/5/18,1232.25,6436.965,0.0,45.0917,1
11/6/18,1231.6,6437.76,-0.65,0.795,0,1
11/7/18,1229.95,6538.79,-1.65,101.03,0,1
11/8/18,1224.15,6486.251667,-5.8,-52.5383,0,0
11/9/18,1211.4,6444.97,-12.75,-41.2817,0,0
11/10/18,1205.55,6399.033333,-5.85,-45.9367,0,0
11/11/18,1205.55,6378.268333,0.0,-20.765,0
11/12/18,1205.55,6408.53,0.0,30.2617,1
11/13/18,1202.1,6372.063333,-3.45,-36.4667,0,0
11/14/18,1203.25,6176.155,1.15,-195.9083,1,0
11/15/18,1211.85,5756.77,8.6,-419.385,1,0
11/16/18,1222.4,5596.1925,10.55,-160.5775,1,0
11/17/18,1221.6,5558.243333,-0.8,-37.9492,0,0
11/18/18,1221.6,5572.44,0.0,14.1967,1
11/19/18,1221.6,5303.9425,0.0,-268.4975,0
11/20/18,1223.0,4671.97,1.4,-631.9725,1,0
11/21/18,1226.1,4491.98,3.1,-179.99,1,0
11/22/18,1227.05,4548.7975,0.95,56.8175,1,1
11/23/18,1223.65,4309.3375,-3.4,-239.46,0,0
11/24/18,1223.4,4352.98,-0.25,43.6425,0,1
11/25/18,1223.4,3823.511667,0.0,-529.4683,0
11/26/18,1223.4,3920.536667,0.0,97.025,1
11/27/18,1221.2,3793.35,-2.2,-127.1867,0,0
11/28/18,1213.25,4103.453846,-7.95,310.1038,0,1
11/29/18,1226.25,4263.783333,13.0,160.3295,1,1
11/30/18,1217.55,4278.77,-8.7,14.9867,0,1
12/1/18,1230.3,4116.7775,12.75,-161.9925,1,0
12/2/18,1230.3,4167.546667,0.0,50.7692,1
12/3/18,1230.3,4140.6,0.0,-26.9467,0
12/4/18,1240.3,3961.493333,10.0,-179.1067,1,0
12/5/18,1235.9,3858.349167,-4.4,-103.1442,0,0
12/6/18,1242.55,3744.98,6.65,-113.3692,1,0
12/7/18,1243.3,3405.643333,0.75,-339.3367,1,0
12/8/18,1245.35,3435.34,2.05,29.6967,1,1
12/9/18,1245.35,3453.66,0.0,18.32,1
12/10/18,1245.35,3523.96,0.0,70.3,1
12/11/18,1245.3,3426.19,-0.05,-97.77,0,0
12/12/18,1245.75,3407.28,0.45,-18.91,1,0
12/13/18,1242.75,3406.7625,-3.0,-0.5175,0,0
12/14/18,1235.35,3278.374167,-7.4,-128.3883,0,0
12/15/18,1241.65,3242.42,6.3,-35.9542,1,0
12/16/18,1241.65,3271.238333,0.0,28.8183,1
12/17/18,1241.65,3392.405,0.0,121.1667,1
12/18/18,1246.3,3556.54,4.65,164.135,1,1
12/19/18,1255.0,3808.0425,8.7,251.5025,1,1
12/20/18,1259.75,3982.850833,4.75,174.8083,1,1
12/21/18,1258.15,4135.19,-1.6,152.3392,0,1
12/22/18,nan,3910.973333,nan,-224.2167,0
12/23/18,nan,4027.478333,nan,116.505,1
12/24/18,nan,3995.17,nan,-32.3083,0
12/25/18,1268.0,3813.88,nan,-181.29,0
12/26/18,1268.0,3825.379167,0.0,11.4992,1
12/27/18,1268.0,3848.21,0.0,22.8308,1
12/28/18,1279.0,3743.905,11.0,-104.305,1,0
12/29/18,nan,3912.285833,nan,168.3808,1
12/30/18,nan,3770.36,nan,-141.9258,0
12/31/18,nan,3791.545833,nan,21.1858,1
1/1/19,1282.9,3752.271667,nan,-39.2742,0
1/2/19,1282.9,3855.88,0.0,103.6083,1
1/3/19,1290.45,3865.7975,7.55,9.9175,1,1
1/4/19,1279.9,3822.626667,-10.55,-43.1708,0,0
1/5/19,1292.2,3856.62,12.3,33.9933,1,1
1/6/19,1292.2,3920.456667,0.0,63.8367,1
1/7/19,1292.2,4036.093333,0.0,115.6367,1
1/8/19,1286.45,4032.25,-5.75,-3.8433,0,0
1/9/19,1288.6,4034.138333,2.15,1.8883,1,1
1/10/19,1291.9,3812.585833,3.3,-221.5525,1,0
1/11/19,1288.95,3646.25,-2.95,-166.3358,0,0
1/12/19,1292.75,3646.345833,3.8,0.0958,1,1
1/13/19,1292.75,3599.841667,0.0,-46.5042,0
1/14/19,1292.75,3531.96,0.0,-67.8817,0
1/15/19,1294.4,3656.785,1.65,124.825,1,1
1/16/19,1292.3,3621.270833,-2.1,-35.5142,0,0
1/17/19,1290.7,3621.43,-1.6,0.1592,0,1
1/18/19,1284.2,3632.395,-6.5,10.965,0,1
1/19/19,1279.55,3690.523333,-4.65,58.1283,0,1
1/20/19,1279.55,3703.98,0.0,13.4567,1
1/21/19,1279.55,3548.4275,0.0,-155.5525,0
1/22/19,1282.1,3540.02,2.55,-8.4075,1,0
1/23/19,1279.8,3587.35,-2.3,47.33,0,1
1/24/19,1283.7,3566.4,3.9,-20.95,1,0
1/25/19,1293.9,3586.25,10.2,19.85,1,1
1/26/19,1302.15,3577.79,8.25,-8.46,1,0
1/27/19,1302.15,3576.3,0.0,-1.49,0
1/28/19,1302.15,3554.5,0.0,-21.8,0
1/29/19,1307.55,3448.58,5.4,-105.92,1,0
1/30/19,1310.7,3421.6,3.15,-26.98,1,0
1/31/19,1323.25,3470.0,12.55,48.4,1,1
2/1/19,1318.7,3444.81,-4.55,-25.19,0,0
2/2/19,1312.15,3475.33,-6.55,30.52,0,1
2/3/19,1312.15,3506.22,0.0,30.89,1
2/4/19,1312.15,3456.02,0.0,-50.2,0
2/5/19,1314.2,3452.35,2.05,-3.67,1,0
2/6/19,1312.4,3467.34,-1.8,14.99,0,1
2/7/19,1310.0,3405.7,-2.4,-61.64,0,0
2/8/19,1314.85,3394.76,4.85,-10.94,1,0
2/9/19,1306.4,3661.08,-8.45,266.32,0,1
2/10/19,1306.4,3664.38,0.0,3.3,1
2/11/19,1306.4,3686.29,0.0,21.91,1
2/12/19,1310.0,3629.47,3.6,-56.82,1,0
2/13/19,1312.8,3632.42,2.8,2.95,1,1
2/14/19,1311.45,3614.5,-1.35,-17.92,0,0
2/15/19,1316.55,3600.31,5.1,-14.19,1,0
2/16/19,1325.5,3608.2,8.95,7.89,1,1
2/17/19,1325.5,3619.55,0.0,11.35,1
